"dataset","method","setting","attempted_folds","successful_folds","failed_folds","accuracy","correct","status","first_error_message","method_group"
"baby","DD.alpha","supervised",247,247,0,0.793522267206478,196,"OK",NA,"DD classifier"
"banknoten","LDA.orig","supervised",200,200,0,0.995,199,"OK",NA,"Original representation"
"banknoten","DD.alpha","supervised",200,200,0,0.995,199,"OK",NA,"DD classifier"
"biomed","SVM.orig","supervised",194,194,0,0.876288659793814,170,"OK",NA,"Original representation"
"bloodtransfusion","SSL.orig","semi_supervised",748,748,0,0.799465240641711,598,"OK",NA,"Original representation"
"breast_cancer_wisconsin","SVM.orig","supervised",699,699,0,0.967095851216023,676,"OK",NA,"Original representation"
"bupa","SVM.orig","supervised",345,345,0,0.695652173913043,240,"OK",NA,"Original representation"
"bupa","DD.alpha","supervised",345,345,0,0.695652173913043,240,"OK",NA,"DD classifier"
"chemdiab_1vs2","LDA.orig","supervised",112,112,0,0.964285714285714,108,"OK",NA,"Original representation"
"chemdiab_1vs2","DD.alpha","supervised",112,112,0,0.964285714285714,108,"OK",NA,"DD classifier"
"chemdiab_1vs3","SSL.orig","semi_supervised",69,69,0,0.91304347826087,63,"OK",NA,"Original representation"
"chemdiab_2vs3","LDA.orig","supervised",109,109,0,0.963302752293578,105,"OK",NA,"Original representation"
"chemdiab_2vs3","DD.alpha","supervised",109,109,0,0.963302752293578,105,"OK",NA,"DD classifier"
"cloud","SSL.poly","semi_supervised",108,108,0,0.537037037037037,58,"OK",NA,"DD + polynomial features"
"crabB_MvsF","DD.alpha","supervised",100,100,0,0.92,92,"OK",NA,"DD classifier"
"crabF_BvsO","LDA.orig","supervised",100,100,0,1,100,"OK",NA,"Original representation"
"crabF_BvsO","DD.alpha","supervised",100,100,0,1,100,"OK",NA,"DD classifier"
"crabM_BvsO","LDA.orig","supervised",100,100,0,1,100,"OK",NA,"Original representation"
"crabM_BvsO","DD.alpha","supervised",100,100,0,1,100,"OK",NA,"DD classifier"
"crabO_MvsF","LDA.orig","supervised",100,100,0,0.97,97,"OK",NA,"Original representation"
"crabO_MvsF","DD.alpha","supervised",100,100,0,0.97,97,"OK",NA,"DD classifier"
"crab_BvsO","LDA.orig","supervised",200,200,0,1,200,"OK",NA,"Original representation"
"crab_BvsO","DD.alpha","supervised",200,200,0,1,200,"OK",NA,"DD classifier"
"crab_MvsF","LDA.orig","supervised",200,200,0,0.96,192,"OK",NA,"Original representation"
"cricket_CvsP","LDA.DD","supervised",156,156,0,0.397435897435897,62,"OK",NA,"DD features"
"ecoli_cpvsim","LDA.orig","supervised",220,220,0,0.986363636363636,217,"OK",NA,"Original representation"
"ecoli_cpvspp","LDA.orig","supervised",195,195,0,0.969230769230769,189,"OK",NA,"Original representation"
"ecoli_imvspp","SSL.orig","semi_supervised",129,129,0,0.976744186046512,126,"OK",NA,"Original representation"
"gemsen_MvsF","SSL.orig","semi_supervised",1349,1349,0,0.914010378057821,1233,"OK",NA,"Original representation"
"glass","SSL.orig","semi_supervised",146,146,0,0.780821917808219,114,"OK",NA,"Original representation"
"groessen_MvsF","LDA.orig","supervised",230,230,0,0.891304347826087,205,"OK",NA,"Original representation"
"haberman","LDA.orig","supervised",306,306,0,0.748366013071895,229,"OK",NA,"Original representation"
"heart","LDA.orig","supervised",270,270,0,0.837037037037037,226,"OK",NA,"Original representation"
"heart","DD.alpha","supervised",270,270,0,0.837037037037037,226,"OK",NA,"DD classifier"
"hemophilia","SSL.orig","semi_supervised",75,75,0,0.866666666666667,65,"OK",NA,"Original representation"
"indian_liver_patient_1vs2","SVM.orig","supervised",579,579,0,0.715025906735751,414,"OK",NA,"Original representation"
"indian_liver_patient_1vs2","SVM.DD","supervised",579,579,0,0.715025906735751,414,"OK",NA,"DD features"
"indian_liver_patient_1vs2","SVM.poly","supervised",579,579,0,0.715025906735751,414,"OK",NA,"DD + polynomial features"
"indian_liver_patient_FvsM","SVM.DD","supervised",579,579,0,0.758203799654577,439,"OK",NA,"DD features"
"indian_liver_patient_FvsM","SVM.poly","supervised",579,579,0,0.758203799654577,439,"OK",NA,"DD + polynomial features"
"iris_setosavsversicolor","LDA.orig","supervised",100,100,0,1,100,"OK",NA,"Original representation"
"iris_setosavsversicolor","SVM.orig","supervised",100,100,0,1,100,"OK",NA,"Original representation"
"iris_setosavsversicolor","DD.alpha","supervised",100,100,0,1,100,"OK",NA,"DD classifier"
"iris_setosavsversicolor","SSL.orig","semi_supervised",100,100,0,1,100,"OK",NA,"Original representation"
"iris_setosavsvirginica","LDA.orig","supervised",100,100,0,1,100,"OK",NA,"Original representation"
"iris_setosavsvirginica","SVM.orig","supervised",100,100,0,1,100,"OK",NA,"Original representation"
"iris_setosavsvirginica","DD.alpha","supervised",100,100,0,1,100,"OK",NA,"DD classifier"
"iris_setosavsvirginica","SSL.orig","semi_supervised",100,100,0,1,100,"OK",NA,"Original representation"
"iris_versicolorvsvirginica","LDA.orig","supervised",100,100,0,0.97,97,"OK",NA,"Original representation"
"iris_versicolorvsvirginica","DD.alpha","supervised",100,100,0,0.97,97,"OK",NA,"DD classifier"
"irish_ed_MvsF","SSL.orig","semi_supervised",500,500,0,0.592,296,"OK",NA,"Original representation"
"kidney","SSL.DD","semi_supervised",76,76,0,0.763157894736842,58,"OK",NA,"DD features"
"kidney","SSL.poly","semi_supervised",76,76,0,0.763157894736842,58,"OK",NA,"DD + polynomial features"
"pima","LDA.orig","supervised",200,200,0,0.755,151,"OK",NA,"Original representation"
"plasma_retinol_MvsF","SSL.orig","semi_supervised",315,315,0,0.86984126984127,274,"OK",NA,"Original representation"
"plasma_retinol_MvsF","SSL.DD","semi_supervised",315,315,0,0.86984126984127,274,"OK",NA,"DD features"
"plasma_retinol_MvsF","SSL.poly","semi_supervised",315,315,0,0.86984126984127,274,"OK",NA,"DD + polynomial features"
"segmentation","SVM.orig","supervised",660,660,0,0.948484848484848,626,"OK",NA,"Original representation"
