"dataset","method","setting","attempted_folds","successful_folds","failed_folds","accuracy","correct","status","first_error_message","method_group"
"baby","LDA.orig","supervised",247,247,0,0.781376518218624,193,"OK",NA,"Original representation"
"baby","SVM.orig","supervised",247,247,0,0.740890688259109,183,"OK",NA,"Original representation"
"baby","DD.alpha","supervised",247,247,0,0.793522267206478,196,"OK",NA,"DD classifier"
"baby","LDA.DD","supervised",247,247,0,0.680161943319838,168,"OK",NA,"DD features"
"baby","SVM.DD","supervised",247,247,0,0.651821862348178,161,"OK",NA,"DD features"
"baby","LDA.poly","supervised",247,247,0,0.712550607287449,176,"OK",NA,"DD + polynomial features"
"baby","SVM.poly","supervised",247,247,0,0.651821862348178,161,"OK",NA,"DD + polynomial features"
"baby","SSL.orig","semi_supervised",247,247,0,0.692307692307692,171,"OK",NA,"Original representation"
"baby","SSL.DD","semi_supervised",247,247,0,0.716599190283401,177,"OK",NA,"DD features"
"baby","SSL.poly","semi_supervised",247,247,0,0.716599190283401,177,"OK",NA,"DD + polynomial features"
"banknoten","LDA.orig","supervised",200,200,0,0.995,199,"OK",NA,"Original representation"
"banknoten","SVM.orig","supervised",200,200,0,0.99,198,"OK",NA,"Original representation"
"banknoten","DD.alpha","supervised",200,200,0,0.995,199,"OK",NA,"DD classifier"
"banknoten","SVM.DD","supervised",200,200,0,0.135,27,"OK",NA,"DD features"
"banknoten","SVM.poly","supervised",200,200,0,0,0,"OK",NA,"DD + polynomial features"
"banknoten","SSL.orig","semi_supervised",200,200,0,0.985,197,"OK",NA,"Original representation"
"banknoten","SSL.DD","semi_supervised",200,200,0,0.7,140,"OK",NA,"DD features"
"banknoten","SSL.poly","semi_supervised",200,200,0,0.675,135,"OK",NA,"DD + polynomial features"
"biomed","LDA.orig","supervised",194,194,0,0.84020618556701,163,"OK",NA,"Original representation"
"biomed","SVM.orig","supervised",194,194,0,0.876288659793814,170,"OK",NA,"Original representation"
"biomed","DD.alpha","supervised",194,194,0,0.865979381443299,168,"OK",NA,"DD classifier"
"biomed","LDA.DD","supervised",194,194,0,0.742268041237113,144,"OK",NA,"DD features"
"biomed","SVM.DD","supervised",194,194,0,0.654639175257732,127,"OK",NA,"DD features"
"biomed","LDA.poly","supervised",194,194,0,0.778350515463918,151,"OK",NA,"DD + polynomial features"
"biomed","SVM.poly","supervised",194,194,0,0.654639175257732,127,"OK",NA,"DD + polynomial features"
"biomed","SSL.orig","semi_supervised",194,194,0,0.850515463917526,165,"OK",NA,"Original representation"
"biomed","SSL.DD","semi_supervised",194,194,0,0.788659793814433,153,"OK",NA,"DD features"
"biomed","SSL.poly","semi_supervised",194,194,0,0.788659793814433,153,"OK",NA,"DD + polynomial features"
"bloodtransfusion","LDA.orig","supervised",748,748,0,0.771390374331551,577,"OK",NA,"Original representation"
"bloodtransfusion","SVM.orig","supervised",748,748,0,0.782085561497326,585,"OK",NA,"Original representation"
"bloodtransfusion","DD.alpha","supervised",748,748,0,0.782085561497326,585,"OK",NA,"DD classifier"
"bloodtransfusion","LDA.DD","supervised",748,748,0,0.775401069518717,580,"OK",NA,"DD features"
"bloodtransfusion","SVM.DD","supervised",748,748,0,0.762032085561497,570,"OK",NA,"DD features"
"bloodtransfusion","LDA.poly","supervised",748,748,0,0.770053475935829,576,"OK",NA,"DD + polynomial features"
"bloodtransfusion","SVM.poly","supervised",748,748,0,0.762032085561497,570,"OK",NA,"DD + polynomial features"
"bloodtransfusion","SSL.orig","semi_supervised",748,748,0,0.799465240641711,598,"OK",NA,"Original representation"
"bloodtransfusion","SSL.DD","semi_supervised",748,748,0,0.780748663101604,584,"OK",NA,"DD features"
"bloodtransfusion","SSL.poly","semi_supervised",748,748,0,0.766042780748663,573,"OK",NA,"DD + polynomial features"
"breast_cancer_wisconsin","LDA.orig","supervised",699,699,0,0.959942775393419,671,"OK",NA,"Original representation"
"breast_cancer_wisconsin","SVM.orig","supervised",699,699,0,0.967095851216023,676,"OK",NA,"Original representation"
"breast_cancer_wisconsin","DD.alpha","supervised",699,699,0,0.959942775393419,671,"OK",NA,"DD classifier"
"breast_cancer_wisconsin","LDA.DD","supervised",699,699,0,0.738197424892704,516,"OK",NA,"DD features"
"breast_cancer_wisconsin","SVM.DD","supervised",699,699,0,0.655221745350501,458,"OK",NA,"DD features"
"breast_cancer_wisconsin","SVM.poly","supervised",699,699,0,0.655221745350501,458,"OK",NA,"DD + polynomial features"
"breast_cancer_wisconsin","SSL.orig","semi_supervised",699,699,0,0.892703862660944,624,"OK",NA,"Original representation"
"breast_cancer_wisconsin","SSL.DD","semi_supervised",699,699,0,0.78826895565093,551,"OK",NA,"DD features"
"breast_cancer_wisconsin","SSL.poly","semi_supervised",699,699,0,0.785407725321888,549,"OK",NA,"DD + polynomial features"
"bupa","LDA.orig","supervised",345,345,0,0.692753623188406,239,"OK",NA,"Original representation"
"bupa","SVM.orig","supervised",345,345,0,0.695652173913043,240,"OK",NA,"Original representation"
"bupa","DD.alpha","supervised",345,345,0,0.695652173913043,240,"OK",NA,"DD classifier"
"bupa","LDA.DD","supervised",345,345,0,0.64927536231884,224,"OK",NA,"DD features"
"bupa","SVM.DD","supervised",345,345,0,0.579710144927536,200,"OK",NA,"DD features"
"bupa","LDA.poly","supervised",345,345,0,0.663768115942029,229,"OK",NA,"DD + polynomial features"
"bupa","SVM.poly","supervised",345,345,0,0.579710144927536,200,"OK",NA,"DD + polynomial features"
"bupa","SSL.orig","semi_supervised",345,345,0,0.67536231884058,233,"OK",NA,"Original representation"
"bupa","SSL.DD","semi_supervised",345,345,0,0.678260869565217,234,"OK",NA,"DD features"
"bupa","SSL.poly","semi_supervised",345,345,0,0.669565217391304,231,"OK",NA,"DD + polynomial features"
"chemdiab_1vs2","LDA.orig","supervised",112,112,0,0.964285714285714,108,"OK",NA,"Original representation"
"chemdiab_1vs2","SVM.orig","supervised",112,112,0,0.9375,105,"OK",NA,"Original representation"
"chemdiab_1vs2","DD.alpha","supervised",112,112,0,0.964285714285714,108,"OK",NA,"DD classifier"
"chemdiab_1vs2","LDA.DD","supervised",112,74,38,0.567567567567568,42,"PARTIAL","No valid DD columns for LDA after removing within-class constants.","DD features"
"chemdiab_1vs2","SVM.DD","supervised",112,112,0,0.678571428571429,76,"OK",NA,"DD features"
"chemdiab_1vs2","LDA.poly","supervised",112,74,38,0.675675675675676,50,"PARTIAL","No valid DD-poly columns for LDA after removing within-class constants.","DD + polynomial features"
"chemdiab_1vs2","SVM.poly","supervised",112,112,0,0.678571428571429,76,"OK",NA,"DD + polynomial features"
"chemdiab_1vs2","SSL.orig","semi_supervised",112,112,0,0.910714285714286,102,"OK",NA,"Original representation"
"chemdiab_1vs2","SSL.DD","semi_supervised",112,112,0,0.758928571428571,85,"OK",NA,"DD features"
"chemdiab_1vs2","SSL.poly","semi_supervised",112,112,0,0.732142857142857,82,"OK",NA,"DD + polynomial features"
"chemdiab_1vs3","LDA.orig","supervised",69,69,0,0.898550724637681,62,"OK",NA,"Original representation"
"chemdiab_1vs3","SVM.orig","supervised",69,69,0,0.898550724637681,62,"OK",NA,"Original representation"
"chemdiab_1vs3","DD.alpha","supervised",69,69,0,0.898550724637681,62,"OK",NA,"DD classifier"
"chemdiab_1vs3","SVM.DD","supervised",69,69,0,0.521739130434783,36,"OK",NA,"DD features"
"chemdiab_1vs3","SVM.poly","supervised",69,69,0,0.521739130434783,36,"OK",NA,"DD + polynomial features"
"chemdiab_1vs3","SSL.orig","semi_supervised",69,69,0,0.91304347826087,63,"OK",NA,"Original representation"
"chemdiab_1vs3","SSL.DD","semi_supervised",69,69,0,0.652173913043478,45,"OK",NA,"DD features"
"chemdiab_1vs3","SSL.poly","semi_supervised",69,69,0,0.63768115942029,44,"OK",NA,"DD + polynomial features"
"chemdiab_2vs3","LDA.orig","supervised",109,109,0,0.963302752293578,105,"OK",NA,"Original representation"
"chemdiab_2vs3","SVM.orig","supervised",109,109,0,0.954128440366973,104,"OK",NA,"Original representation"
"chemdiab_2vs3","DD.alpha","supervised",109,109,0,0.963302752293578,105,"OK",NA,"DD classifier"
"chemdiab_2vs3","SVM.DD","supervised",109,109,0,0.697247706422018,76,"OK",NA,"DD features"
"chemdiab_2vs3","SVM.poly","supervised",109,109,0,0.697247706422018,76,"OK",NA,"DD + polynomial features"
"chemdiab_2vs3","SSL.orig","semi_supervised",109,109,0,0.954128440366973,104,"OK",NA,"Original representation"
"chemdiab_2vs3","SSL.DD","semi_supervised",109,109,0,0.825688073394495,90,"OK",NA,"DD features"
"chemdiab_2vs3","SSL.poly","semi_supervised",109,109,0,0.81651376146789,89,"OK",NA,"DD + polynomial features"
"cloud","LDA.orig","supervised",108,108,0,0.453703703703704,49,"OK",NA,"Original representation"
"cloud","SVM.orig","supervised",108,108,0,0.518518518518518,56,"OK",NA,"Original representation"
"cloud","DD.alpha","supervised",108,108,0,0.462962962962963,50,"OK",NA,"DD classifier"
"cloud","LDA.DD","supervised",108,108,0,0.509259259259259,55,"OK",NA,"DD features"
"cloud","SVM.DD","supervised",108,108,0,0,0,"OK",NA,"DD features"
"cloud","LDA.poly","supervised",108,108,0,0.509259259259259,55,"OK",NA,"DD + polynomial features"
"cloud","SVM.poly","supervised",108,108,0,0,0,"OK",NA,"DD + polynomial features"
"cloud","SSL.orig","semi_supervised",108,108,0,0.481481481481481,52,"OK",NA,"Original representation"
"cloud","SSL.DD","semi_supervised",108,108,0,0.518518518518518,56,"OK",NA,"DD features"
"cloud","SSL.poly","semi_supervised",108,108,0,0.537037037037037,58,"OK",NA,"DD + polynomial features"
"crabB_MvsF","LDA.orig","supervised",100,100,0,0.91,91,"OK",NA,"Original representation"
"crabB_MvsF","SVM.orig","supervised",100,100,0,0.86,86,"OK",NA,"Original representation"
"crabB_MvsF","DD.alpha","supervised",100,100,0,0.92,92,"OK",NA,"DD classifier"
"crabB_MvsF","LDA.DD","supervised",100,99,1,0.717171717171717,71,"PARTIAL","No valid DD columns for LDA after removing within-class constants.","DD features"
"crabB_MvsF","SVM.DD","supervised",100,100,0,0.08,8,"OK",NA,"DD features"
"crabB_MvsF","LDA.poly","supervised",100,99,1,0.797979797979798,79,"PARTIAL","No valid DD-poly columns for LDA after removing within-class constants.","DD + polynomial features"
"crabB_MvsF","SVM.poly","supervised",100,100,0,0,0,"OK",NA,"DD + polynomial features"
"crabB_MvsF","SSL.orig","semi_supervised",100,100,0,0.91,91,"OK",NA,"Original representation"
"crabB_MvsF","SSL.DD","semi_supervised",100,100,0,0.8,80,"OK",NA,"DD features"
"crabB_MvsF","SSL.poly","semi_supervised",100,100,0,0.8,80,"OK",NA,"DD + polynomial features"
"crabF_BvsO","LDA.orig","supervised",100,100,0,1,100,"OK",NA,"Original representation"
"crabF_BvsO","SVM.orig","supervised",100,100,0,0.86,86,"OK",NA,"Original representation"
"crabF_BvsO","DD.alpha","supervised",100,100,0,1,100,"OK",NA,"DD classifier"
"crabF_BvsO","SVM.DD","supervised",100,100,0,0.01,1,"OK",NA,"DD features"
"crabF_BvsO","SVM.poly","supervised",100,100,0,0,0,"OK",NA,"DD + polynomial features"
"crabF_BvsO","SSL.orig","semi_supervised",100,100,0,0.95,95,"OK",NA,"Original representation"
"crabF_BvsO","SSL.DD","semi_supervised",100,100,0,0.82,82,"OK",NA,"DD features"
"crabF_BvsO","SSL.poly","semi_supervised",100,100,0,0.82,82,"OK",NA,"DD + polynomial features"
"crabM_BvsO","LDA.orig","supervised",100,100,0,1,100,"OK",NA,"Original representation"
"crabM_BvsO","SVM.orig","supervised",100,100,0,0.95,95,"OK",NA,"Original representation"
"crabM_BvsO","DD.alpha","supervised",100,100,0,1,100,"OK",NA,"DD classifier"
"crabM_BvsO","SVM.DD","supervised",100,100,0,0.15,15,"OK",NA,"DD features"
"crabM_BvsO","SVM.poly","supervised",100,100,0,0,0,"OK",NA,"DD + polynomial features"
"crabM_BvsO","SSL.orig","semi_supervised",100,100,0,0.96,96,"OK",NA,"Original representation"
"crabM_BvsO","SSL.DD","semi_supervised",100,100,0,0.75,75,"OK",NA,"DD features"
"crabM_BvsO","SSL.poly","semi_supervised",100,100,0,0.72,72,"OK",NA,"DD + polynomial features"
"crabO_MvsF","LDA.orig","supervised",100,100,0,0.97,97,"OK",NA,"Original representation"
"crabO_MvsF","SVM.orig","supervised",100,100,0,0.93,93,"OK",NA,"Original representation"
"crabO_MvsF","DD.alpha","supervised",100,100,0,0.97,97,"OK",NA,"DD classifier"
"crabO_MvsF","SVM.DD","supervised",100,100,0,0.12,12,"OK",NA,"DD features"
"crabO_MvsF","SVM.poly","supervised",100,100,0,0,0,"OK",NA,"DD + polynomial features"
"crabO_MvsF","SSL.orig","semi_supervised",100,100,0,0.96,96,"OK",NA,"Original representation"
"crabO_MvsF","SSL.DD","semi_supervised",100,100,0,0.76,76,"OK",NA,"DD features"
"crabO_MvsF","SSL.poly","semi_supervised",100,100,0,0.69,69,"OK",NA,"DD + polynomial features"
"crab_BvsO","LDA.orig","supervised",200,200,0,1,200,"OK",NA,"Original representation"
"crab_BvsO","SVM.orig","supervised",200,200,0,0.955,191,"OK",NA,"Original representation"
"crab_BvsO","DD.alpha","supervised",200,200,0,1,200,"OK",NA,"DD classifier"
"crab_BvsO","LDA.DD","supervised",200,24,176,0.625,15,"PARTIAL","No valid DD columns for LDA after removing within-class constants.","DD features"
"crab_BvsO","SVM.DD","supervised",200,200,0,0.585,117,"OK",NA,"DD features"
"crab_BvsO","LDA.poly","supervised",200,17,183,0.823529411764706,14,"PARTIAL","No valid DD-poly columns for LDA after removing within-class constants.","DD + polynomial features"
"crab_BvsO","SVM.poly","supervised",200,200,0,0,0,"OK",NA,"DD + polynomial features"
"crab_BvsO","SSL.orig","semi_supervised",200,200,0,0.985,197,"OK",NA,"Original representation"
"crab_BvsO","SSL.DD","semi_supervised",200,200,0,0.835,167,"OK",NA,"DD features"
"crab_BvsO","SSL.poly","semi_supervised",200,200,0,0.83,166,"OK",NA,"DD + polynomial features"
"crab_MvsF","LDA.orig","supervised",200,200,0,0.96,192,"OK",NA,"Original representation"
"crab_MvsF","SVM.orig","supervised",200,200,0,0.925,185,"OK",NA,"Original representation"
"crab_MvsF","DD.alpha","supervised",200,200,0,0.955,191,"OK",NA,"DD classifier"
"crab_MvsF","LDA.DD","supervised",200,200,0,0.735,147,"OK",NA,"DD features"
"crab_MvsF","SVM.DD","supervised",200,200,0,0.445,89,"OK",NA,"DD features"
"crab_MvsF","LDA.poly","supervised",200,188,12,0.75,141,"PARTIAL","variable 5 appears to be constant within groups","DD + polynomial features"
"crab_MvsF","SVM.poly","supervised",200,200,0,0,0,"OK",NA,"DD + polynomial features"
"crab_MvsF","SSL.orig","semi_supervised",200,200,0,0.95,190,"OK",NA,"Original representation"
"crab_MvsF","SSL.DD","semi_supervised",200,200,0,0.74,148,"OK",NA,"DD features"
"crab_MvsF","SSL.poly","semi_supervised",200,200,0,0.79,158,"OK",NA,"DD + polynomial features"
"cricket_CvsP","LDA.orig","supervised",156,156,0,0.314102564102564,49,"OK",NA,"Original representation"
"cricket_CvsP","SVM.orig","supervised",156,156,0,0.0833333333333333,13,"OK",NA,"Original representation"
"cricket_CvsP","DD.alpha","supervised",156,156,0,0.326923076923077,51,"OK",NA,"DD classifier"
"cricket_CvsP","LDA.DD","supervised",156,156,0,0.397435897435897,62,"OK",NA,"DD features"
"cricket_CvsP","SVM.DD","supervised",156,156,0,0,0,"OK",NA,"DD features"
"cricket_CvsP","LDA.poly","supervised",156,156,0,0.378205128205128,59,"OK",NA,"DD + polynomial features"
"cricket_CvsP","SVM.poly","supervised",156,156,0,0,0,"OK",NA,"DD + polynomial features"
"cricket_CvsP","SSL.orig","semi_supervised",156,156,0,0.17948717948718,28,"OK",NA,"Original representation"
"cricket_CvsP","SSL.DD","semi_supervised",156,156,0,0.384615384615385,60,"OK",NA,"DD features"
"cricket_CvsP","SSL.poly","semi_supervised",156,156,0,0.384615384615385,60,"OK",NA,"DD + polynomial features"
"ecoli_cpvsim","LDA.orig","supervised",220,220,0,0.986363636363636,217,"OK",NA,"Original representation"
"ecoli_cpvsim","SVM.orig","supervised",220,220,0,0.977272727272727,215,"OK",NA,"Original representation"
"ecoli_cpvsim","DD.alpha","supervised",220,220,0,0.981818181818182,216,"OK",NA,"DD classifier"
"ecoli_cpvsim","LDA.DD","supervised",220,220,0,0.813636363636364,179,"OK",NA,"DD features"
"ecoli_cpvsim","SVM.DD","supervised",220,220,0,0.65,143,"OK",NA,"DD features"
"ecoli_cpvsim","LDA.poly","supervised",220,2,218,0.5,1,"PARTIAL","variable 5 appears to be constant within groups","DD + polynomial features"
"ecoli_cpvsim","SVM.poly","supervised",220,220,0,0.65,143,"OK",NA,"DD + polynomial features"
"ecoli_cpvsim","SSL.orig","semi_supervised",220,220,0,0.963636363636364,212,"OK",NA,"Original representation"
"ecoli_cpvsim","SSL.DD","semi_supervised",220,220,0,0.840909090909091,185,"OK",NA,"DD features"
"ecoli_cpvsim","SSL.poly","semi_supervised",220,220,0,0.845454545454545,186,"OK",NA,"DD + polynomial features"
"ecoli_cpvspp","LDA.orig","supervised",195,195,0,0.969230769230769,189,"OK",NA,"Original representation"
"ecoli_cpvspp","SVM.orig","supervised",195,195,0,0.958974358974359,187,"OK",NA,"Original representation"
"ecoli_cpvspp","DD.alpha","supervised",195,195,0,0.953846153846154,186,"OK",NA,"DD classifier"
"ecoli_cpvspp","LDA.DD","supervised",195,195,0,0.794871794871795,155,"OK",NA,"DD features"
"ecoli_cpvspp","SVM.DD","supervised",195,195,0,0.733333333333333,143,"OK",NA,"DD features"
"ecoli_cpvspp","LDA.poly","supervised",195,195,0,0.825641025641026,161,"OK",NA,"DD + polynomial features"
"ecoli_cpvspp","SVM.poly","supervised",195,195,0,0.733333333333333,143,"OK",NA,"DD + polynomial features"
"ecoli_cpvspp","SSL.orig","semi_supervised",195,195,0,0.938461538461538,183,"OK",NA,"Original representation"
"ecoli_cpvspp","SSL.DD","semi_supervised",195,195,0,0.825641025641026,161,"OK",NA,"DD features"
"ecoli_cpvspp","SSL.poly","semi_supervised",195,195,0,0.825641025641026,161,"OK",NA,"DD + polynomial features"
"ecoli_imvspp","LDA.orig","supervised",129,129,0,0.945736434108527,122,"OK",NA,"Original representation"
"ecoli_imvspp","SVM.orig","supervised",129,129,0,0.968992248062015,125,"OK",NA,"Original representation"
"ecoli_imvspp","DD.alpha","supervised",129,129,0,0.945736434108527,122,"OK",NA,"DD classifier"
"ecoli_imvspp","LDA.DD","supervised",129,13,116,0.538461538461538,7,"PARTIAL","No valid DD columns for LDA after removing within-class constants.","DD features"
"ecoli_imvspp","SVM.DD","supervised",129,129,0,0.596899224806202,77,"OK",NA,"DD features"
"ecoli_imvspp","LDA.poly","supervised",129,13,116,0.538461538461538,7,"PARTIAL","No valid DD-poly columns for LDA after removing within-class constants.","DD + polynomial features"
"ecoli_imvspp","SVM.poly","supervised",129,129,0,0.596899224806202,77,"OK",NA,"DD + polynomial features"
"ecoli_imvspp","SSL.orig","semi_supervised",129,129,0,0.976744186046512,126,"OK",NA,"Original representation"
"ecoli_imvspp","SSL.DD","semi_supervised",129,129,0,0.75968992248062,98,"OK",NA,"DD features"
"ecoli_imvspp","SSL.poly","semi_supervised",129,129,0,0.744186046511628,96,"OK",NA,"DD + polynomial features"
"gemsen_MvsF","LDA.orig","supervised",1349,1349,0,0.808747220163084,1091,"OK",NA,"Original representation"
"gemsen_MvsF","SVM.orig","supervised",1349,1349,0,0.905114899925871,1221,"OK",NA,"Original representation"
"gemsen_MvsF","DD.alpha","supervised",1349,1349,0,0.849518161601186,1146,"OK",NA,"DD classifier"
"gemsen_MvsF","LDA.DD","supervised",1349,1349,0,0.714603409933284,964,"OK",NA,"DD features"
"gemsen_MvsF","SVM.DD","supervised",1349,1349,0,0.592290585618977,799,"OK",NA,"DD features"
"gemsen_MvsF","LDA.poly","supervised",1349,1349,0,0.771682727946627,1041,"OK",NA,"DD + polynomial features"
"gemsen_MvsF","SVM.poly","supervised",1349,1349,0,0.59006671608599,796,"OK",NA,"DD + polynomial features"
"gemsen_MvsF","SSL.orig","semi_supervised",1349,1349,0,0.914010378057821,1233,"OK",NA,"Original representation"
"gemsen_MvsF","SSL.DD","semi_supervised",1349,1349,0,0.822831727205337,1110,"OK",NA,"DD features"
"gemsen_MvsF","SSL.poly","semi_supervised",1349,1349,0,0.819866567828021,1106,"OK",NA,"DD + polynomial features"
"glass","LDA.orig","supervised",146,146,0,0.726027397260274,106,"OK",NA,"Original representation"
"glass","SVM.orig","supervised",146,146,0,0.773972602739726,113,"OK",NA,"Original representation"
"glass","DD.alpha","supervised",146,146,0,0.76027397260274,111,"OK",NA,"DD classifier"
"glass","LDA.DD","supervised",146,146,0,0.650684931506849,95,"OK",NA,"DD features"
"glass","SVM.DD","supervised",146,146,0,0.520547945205479,76,"OK",NA,"DD features"
"glass","LDA.poly","supervised",146,146,0,0.664383561643836,97,"OK",NA,"DD + polynomial features"
"glass","SVM.poly","supervised",146,146,0,0.520547945205479,76,"OK",NA,"DD + polynomial features"
"glass","SSL.orig","semi_supervised",146,146,0,0.780821917808219,114,"OK",NA,"Original representation"
"glass","SSL.DD","semi_supervised",146,146,0,0.657534246575342,96,"OK",NA,"DD features"
"glass","SSL.poly","semi_supervised",146,146,0,0.643835616438356,94,"OK",NA,"DD + polynomial features"
"groessen_MvsF","LDA.orig","supervised",230,230,0,0.891304347826087,205,"OK",NA,"Original representation"
"groessen_MvsF","SVM.orig","supervised",230,230,0,0.88695652173913,204,"OK",NA,"Original representation"
"groessen_MvsF","DD.alpha","supervised",230,230,0,0.869565217391304,200,"OK",NA,"DD classifier"
"groessen_MvsF","LDA.DD","supervised",230,230,0,0.81304347826087,187,"OK",NA,"DD features"
"groessen_MvsF","SVM.DD","supervised",230,230,0,0.726086956521739,167,"OK",NA,"DD features"
"groessen_MvsF","LDA.poly","supervised",230,230,0,0.808695652173913,186,"OK",NA,"DD + polynomial features"
"groessen_MvsF","SVM.poly","supervised",230,230,0,0.656521739130435,151,"OK",NA,"DD + polynomial features"
"groessen_MvsF","SSL.orig","semi_supervised",230,230,0,0.878260869565217,202,"OK",NA,"Original representation"
"groessen_MvsF","SSL.DD","semi_supervised",230,230,0,0.81304347826087,187,"OK",NA,"DD features"
"groessen_MvsF","SSL.poly","semi_supervised",230,230,0,0.795652173913043,183,"OK",NA,"DD + polynomial features"
"haberman","LDA.orig","supervised",306,306,0,0.748366013071895,229,"OK",NA,"Original representation"
"haberman","SVM.orig","supervised",306,306,0,0.72875816993464,223,"OK",NA,"Original representation"
"haberman","DD.alpha","supervised",306,306,0,0.722222222222222,221,"OK",NA,"DD classifier"
