"dataset","mean_accuracy","best_accuracy","n_successful_methods"
"wine_1vs2",0.804615384615385,1,10
"crab_BvsO",0.763852941176471,1,10
"wine_1vs3",0.76285046728972,1,8
"iris_setosavsvirginica",0.7225,1,8
"iris_setosavsversicolor",0.71625,1,8
"crabM_BvsO",0.69125,1,8
"crabF_BvsO",0.6825,1,8
"vowel_MvsF",0.78989898989899,0.998989898989899,10
"banknoten",0.684375,0.995,8
"wine_2vs3",0.78781512605042,0.991596638655462,8
"ecoli_cpvsim",0.820909090909091,0.986363636363636,10
"ecoli_imvspp",0.761180679785331,0.976744186046512,10
"iris_versicolorvsvirginica",0.680464646464646,0.97,10
"crabO_MvsF",0.675,0.97,8
"ecoli_cpvspp",0.855897435897436,0.969230769230769,10
"breast_cancer_wisconsin",0.822444762358925,0.967095851216023,9
"chemdiab_1vs2",0.786824324324324,0.964285714285714,10
"chemdiab_2vs3",0.85894495412844,0.963302752293578,8
"crab_MvsF",0.725,0.96,10
"segmentation",0.782575757575757,0.948484848484848,10
"tips_DvsN",0.851092896174863,0.942622950819672,9
"crabB_MvsF",0.679515151515152,0.92,10
"gemsen_MvsF",0.77887323943662,0.914010378057821,10
"chemdiab_1vs3",0.742753623188406,0.91304347826087,8
"uscrime_SvsN",0.742021276595744,0.893617021276596,8
"groessen_MvsF",0.813913043478261,0.891304347826087,10
"tae",0.821854304635762,0.880794701986755,10
"biomed",0.784020618556701,0.876288659793814,10
"plasma_retinol_MvsF",0.864126984126984,0.86984126984127,10
"hemophilia",0.785333333333333,0.866666666666667,10
"vertebral_column",0.778064516129032,0.851612903225806,10
"socmob_WvsB",0.760813148788927,0.838235294117647,10
"heart",0.678888888888889,0.837037037037037,10
"bloodtransfusion",0.775133689839572,0.799465240641711,10
"baby",0.713765182186235,0.793522267206478,10
"glass",0.66986301369863,0.780821917808219,10
"kidney",0.731578947368421,0.763157894736842,10
"indian_liver_patient_FvsM",0.744386873920553,0.758203799654577,10
"pima",0.689,0.755,10
"haberman",0.728104575163399,0.748366013071895,10
"socmob_IvsNI",0.601038062283737,0.718858131487889,10
"indian_liver_patient_1vs2",0.706044905008635,0.715025906735751,10
"bupa",0.657971014492753,0.695652173913043,10
"tips_MvsF",0.613114754098361,0.64344262295082,10
"irish_ed_MvsF",0.4608,0.592,10
"tennis_MvsF",0.512643678160919,0.586206896551724,10
"veteran_lung_cancer",0.440875912408759,0.554744525547445,10
"cloud",0.399074074074074,0.537037037037037,10
"cricket_CvsP",0.244871794871795,0.397435897435897,10
