"setting","method","mean_accuracy","median_accuracy","sd_accuracy","n_datasets"
"semi_supervised","SSL.orig",0.820194566038797,0.878260869565217,0.170821727212931,49
"semi_supervised","SSL.DD",0.7167927699197,0.75,0.115428162004741,49
"semi_supervised","SSL.poly",0.712722602261705,0.732142857142857,0.11336523319734,49
"supervised","DD.alpha",0.83725583503568,0.869565217391304,0.169990078185298,49
"supervised","LDA.orig",0.833295265689575,0.857142857142857,0.172055865357743,49
"supervised","SVM.orig",0.826014141278783,0.876288659793814,0.178134277379725,49
"supervised","LDA.poly",0.708318197401793,0.745915032679739,0.121114292809868,36
"supervised","LDA.DD",0.695695550186226,0.7158875635525,0.119373199988842,38
"supervised","SVM.DD",0.515982964397642,0.596638655462185,0.25186266230265,49
"supervised","SVM.poly",0.446005652570244,0.59006671608599,0.308904151143468,49
